URL,Latitude,Longitude,Altitude,GoogleMaps,OSMaps
"https://github.com/rcfdtools/R.GISMobile/tree/main/.poi/1/PXL_20230503_141248486.jpg",4.712488888888889,-73.81947777777778,3732.0,"http://maps.google.com/maps?q=4.712488888888889,-73.81947777777778","https://www.openstreetmap.org/query?lat=4.712488888888889&lon=-73.81947777777778"
"https://github.com/rcfdtools/R.GISMobile/tree/main/.poi/1/PXL_20230503_141401490.jpg",4.712169444444444,-73.8198361111111,3733.41,"http://maps.google.com/maps?q=4.712169444444444,-73.8198361111111","https://www.openstreetmap.org/query?lat=4.712169444444444&lon=-73.8198361111111"
"https://github.com/rcfdtools/R.GISMobile/tree/main/.poi/1/PXL_20230503_141404104.jpg",4.712169444444444,-73.8198361111111,3733.41,"http://maps.google.com/maps?q=4.712169444444444,-73.8198361111111","https://www.openstreetmap.org/query?lat=4.712169444444444&lon=-73.8198361111111"
"https://github.com/rcfdtools/R.GISMobile/tree/main/.poi/1/PXL_20230503_141452560.jpg",4.712169444444444,-73.8198361111111,3733.41,"http://maps.google.com/maps?q=4.712169444444444,-73.8198361111111","https://www.openstreetmap.org/query?lat=4.712169444444444&lon=-73.8198361111111"
"https://github.com/rcfdtools/R.GISMobile/tree/main/.poi/1/PXL_20230503_141454219.jpg",4.712169444444444,-73.8198361111111,3733.41,"http://maps.google.com/maps?q=4.712169444444444,-73.8198361111111","https://www.openstreetmap.org/query?lat=4.712169444444444&lon=-73.8198361111111"
"https://github.com/rcfdtools/R.GISMobile/tree/main/.poi/1/PXL_20230503_141456741.jpg",4.712169444444444,-73.8198361111111,3733.41,"http://maps.google.com/maps?q=4.712169444444444,-73.8198361111111","https://www.openstreetmap.org/query?lat=4.712169444444444&lon=-73.8198361111111"
"https://github.com/rcfdtools/R.GISMobile/tree/main/.poi/1/PXL_20230503_141459242.jpg",4.712169444444444,-73.8198361111111,3733.41,"http://maps.google.com/maps?q=4.712169444444444,-73.8198361111111","https://www.openstreetmap.org/query?lat=4.712169444444444&lon=-73.8198361111111"
"https://github.com/rcfdtools/R.GISMobile/tree/main/.poi/1/PXL_20230503_142135200.jpg",4.712169444444444,-73.81983333333334,3719.56,"http://maps.google.com/maps?q=4.712169444444444,-73.81983333333334","https://www.openstreetmap.org/query?lat=4.712169444444444&lon=-73.81983333333334"
"https://github.com/rcfdtools/R.GISMobile/tree/main/.poi/1/PXL_20230503_142138155.jpg",4.712169444444444,-73.81983333333334,3719.56,"http://maps.google.com/maps?q=4.712169444444444,-73.81983333333334","https://www.openstreetmap.org/query?lat=4.712169444444444&lon=-73.81983333333334"
"https://github.com/rcfdtools/R.GISMobile/tree/main/.poi/1/PXL_20230503_142141424.jpg",4.712169444444444,-73.81983333333334,3719.56,"http://maps.google.com/maps?q=4.712169444444444,-73.81983333333334","https://www.openstreetmap.org/query?lat=4.712169444444444&lon=-73.81983333333334"
"https://github.com/rcfdtools/R.GISMobile/tree/main/.poi/10/2013-07-03_16.02.18.jpg",9.5336385,-73.4629137,56.84,"http://maps.google.com/maps?q=9.5336385,-73.4629137","https://www.openstreetmap.org/query?lat=9.5336385&lon=-73.4629137"
"https://github.com/rcfdtools/R.GISMobile/tree/main/.poi/10/2013-07-03_16.02.21.jpg",9.5336385,-73.4629137,56.84,"http://maps.google.com/maps?q=9.5336385,-73.4629137","https://www.openstreetmap.org/query?lat=9.5336385&lon=-73.4629137"
"https://github.com/rcfdtools/R.GISMobile/tree/main/.poi/10/2013-07-03_16.02.26.jpg",9.5336385,-73.4629137,56.84,"http://maps.google.com/maps?q=9.5336385,-73.4629137","https://www.openstreetmap.org/query?lat=9.5336385&lon=-73.4629137"
"https://github.com/rcfdtools/R.GISMobile/tree/main/.poi/10/2013-07-03_16.02.34.jpg",9.5336385,-73.4629137,56.84,"http://maps.google.com/maps?q=9.5336385,-73.4629137","https://www.openstreetmap.org/query?lat=9.5336385&lon=-73.4629137"
"https://github.com/rcfdtools/R.GISMobile/tree/main/.poi/10/2013-07-03_16.02.37.jpg",9.5336385,-73.4629137,56.84,"http://maps.google.com/maps?q=9.5336385,-73.4629137","https://www.openstreetmap.org/query?lat=9.5336385&lon=-73.4629137"
"https://github.com/rcfdtools/R.GISMobile/tree/main/.poi/10/2013-07-03_16.02.53.jpg",9.5336385,-73.4629137,56.84,"http://maps.google.com/maps?q=9.5336385,-73.4629137","https://www.openstreetmap.org/query?lat=9.5336385&lon=-73.4629137"
"https://github.com/rcfdtools/R.GISMobile/tree/main/.poi/10/2013-07-03_16.03.00.jpg",9.5336385,-73.4629137,56.84,"http://maps.google.com/maps?q=9.5336385,-73.4629137","https://www.openstreetmap.org/query?lat=9.5336385&lon=-73.4629137"
"https://github.com/rcfdtools/R.GISMobile/tree/main/.poi/10/2013-07-03_16.10.23.jpg",9.5332223,-73.4627698,57.73,"http://maps.google.com/maps?q=9.5332223,-73.4627698","https://www.openstreetmap.org/query?lat=9.5332223&lon=-73.4627698"
"https://github.com/rcfdtools/R.GISMobile/tree/main/.poi/10/2013-07-03_16.10.26.jpg",9.5332223,-73.4627698,57.73,"http://maps.google.com/maps?q=9.5332223,-73.4627698","https://www.openstreetmap.org/query?lat=9.5332223&lon=-73.4627698"
"https://github.com/rcfdtools/R.GISMobile/tree/main/.poi/10/2013-07-03_16.10.30.jpg",9.5332223,-73.4627698,57.73,"http://maps.google.com/maps?q=9.5332223,-73.4627698","https://www.openstreetmap.org/query?lat=9.5332223&lon=-73.4627698"
"https://github.com/rcfdtools/R.GISMobile/tree/main/.poi/10/2013-07-03_16.10.52.jpg",9.5332223,-73.4627698,57.73,"http://maps.google.com/maps?q=9.5332223,-73.4627698","https://www.openstreetmap.org/query?lat=9.5332223&lon=-73.4627698"
"https://github.com/rcfdtools/R.GISMobile/tree/main/.poi/10/2013-07-03_16.11.05.jpg",9.5332223,-73.4627698,57.73,"http://maps.google.com/maps?q=9.5332223,-73.4627698","https://www.openstreetmap.org/query?lat=9.5332223&lon=-73.4627698"
"https://github.com/rcfdtools/R.GISMobile/tree/main/.poi/10/2013-07-03_16.11.59.jpg",9.5332223,-73.4627698,57.73,"http://maps.google.com/maps?q=9.5332223,-73.4627698","https://www.openstreetmap.org/query?lat=9.5332223&lon=-73.4627698"
"https://github.com/rcfdtools/R.GISMobile/tree/main/.poi/10/2013-07-03_16.14.39.jpg",9.5330167,-73.4626651,56.05,"http://maps.google.com/maps?q=9.5330167,-73.4626651","https://www.openstreetmap.org/query?lat=9.5330167&lon=-73.4626651"
"https://github.com/rcfdtools/R.GISMobile/tree/main/.poi/10/2013-07-03_16.26.22.jpg",9.5282362,-73.4623197,54.04,"http://maps.google.com/maps?q=9.5282362,-73.4623197","https://www.openstreetmap.org/query?lat=9.5282362&lon=-73.4623197"
"https://github.com/rcfdtools/R.GISMobile/tree/main/.poi/10/2013-07-03_16.26.26.jpg",9.5282362,-73.4623197,54.04,"http://maps.google.com/maps?q=9.5282362,-73.4623197","https://www.openstreetmap.org/query?lat=9.5282362&lon=-73.4623197"
"https://github.com/rcfdtools/R.GISMobile/tree/main/.poi/10/2013-07-03_16.28.03.jpg",9.5282168,-73.4622893,52.94,"http://maps.google.com/maps?q=9.5282168,-73.4622893","https://www.openstreetmap.org/query?lat=9.5282168&lon=-73.4622893"
"https://github.com/rcfdtools/R.GISMobile/tree/main/.poi/10/2013-07-03_16.28.07.jpg",9.5282168,-73.4622893,52.94,"http://maps.google.com/maps?q=9.5282168,-73.4622893","https://www.openstreetmap.org/query?lat=9.5282168&lon=-73.4622893"
"https://github.com/rcfdtools/R.GISMobile/tree/main/.poi/10/2013-07-03_16.39.14.jpg",9.5249731,-73.4694264,46.07,"http://maps.google.com/maps?q=9.5249731,-73.4694264","https://www.openstreetmap.org/query?lat=9.5249731&lon=-73.4694264"
"https://github.com/rcfdtools/R.GISMobile/tree/main/.poi/10/2013-07-03_16.39.21.jpg",9.5249731,-73.4694264,46.07,"http://maps.google.com/maps?q=9.5249731,-73.4694264","https://www.openstreetmap.org/query?lat=9.5249731&lon=-73.4694264"
